Total runtime of Kruskal's Algorithm: 40.0 ms.
Edge from 746 to 897 has weight 4
Edge from 749 to 842 has weight 4
Edge from 392 to 941 has weight 4
Edge from 826 to 217 has weight 4
Edge from 419 to 463 has weight 4
Edge from 863 to 968 has weight 4
Edge from 430 to 952 has weight 4
Edge from 99 to 489 has weight 4
Edge from 912 to 469 has weight 4
Edge from 931 to 982 has weight 4
Edge from 940 to 948 has weight 4
Edge from 514 to 230 has weight 5
Edge from 256 to 720 has weight 5
Edge from 126 to 930 has weight 5
Edge from 552 to 886 has weight 5
Edge from 561 to 956 has weight 5
Edge from 586 to 627 has weight 5
Edge from 594 to 879 has weight 5
Edge from 608 to 410 has weight 5
Edge from 11 to 621 has weight 5
Edge from 610 to 800 has weight 5
Edge from 621 to 628 has weight 5
Edge from 624 to 457 has weight 5
Edge from 37 to 970 has weight 5
Edge from 41 to 484 has weight 5
Edge from 151 to 753 has weight 5
Edge from 660 to 889 has weight 5
Edge from 326 to 959 has weight 5
Edge from 683 to 474 has weight 5
Edge from 931 to 937 has weight 5
Edge from 329 to 230 has weight 5
Edge from 13 to 842 has weight 5
Edge from 331 to 768 has weight 5
Edge from 688 to 831 has weight 5
Edge from 75 to 188 has weight 5
Edge from 353 to 499 has weight 5
Edge from 451 to 413 has weight 5
Edge from 360 to 803 has weight 5
Edge from 758 to 870 has weight 5
Edge from 770 to 894 has weight 5
Edge from 381 to 923 has weight 5
Edge from 383 to 57 has weight 5
Edge from 803 to 220 has weight 5
Edge from 811 to 58 has weight 5
Edge from 809 to 113 has weight 5
Edge from 829 to 109 has weight 5
Edge from 95 to 443 has weight 5
Edge from 834 to 998 has weight 5
Edge from 845 to 110 has weight 5
Edge from 860 to 908 has weight 5
Edge from 893 to 237 has weight 5
Edge from 925 to 223 has weight 5
Edge from 238 to 129 has weight 6
Edge from 506 to 564 has weight 6
Edge from 513 to 221 has weight 6
Edge from 513 to 677 has weight 6
Edge from 514 to 909 has weight 6
Edge from 514 to 415 has weight 6
Edge from 518 to 178 has weight 6
Edge from 528 to 124 has weight 6
Edge from 123 to 857 has weight 6
Edge from 534 to 967 has weight 6
Edge from 124 to 492 has weight 6
Edge from 124 to 264 has weight 6
Edge from 33 to 860 has weight 6
Edge from 555 to 148 has weight 6
Edge from 564 to 574 has weight 6
Edge from 568 to 225 has weight 6
Edge from 135 to 484 has weight 6
Edge from 587 to 819 has weight 6
Edge from 602 to 468 has weight 6
Edge from 604 to 677 has weight 6
Edge from 292 to 841 has weight 6
Edge from 139 to 74 has weight 6
Edge from 610 to 428 has weight 6
Edge from 299 to 379 has weight 6
Edge from 299 to 229 has weight 6
Edge from 304 to 205 has weight 6
Edge from 304 to 707 has weight 6
Edge from 304 to 115 has weight 6
Edge from 969 to 935 has weight 6
Edge from 316 to 193 has weight 6
Edge from 652 to 488 has weight 6
Edge from 154 to 328 has weight 6
Edge from 324 to 878 has weight 6
Edge from 672 to 731 has weight 6
Edge from 161 to 886 has weight 6
Edge from 343 to 718 has weight 6
Edge from 346 to 891 has weight 6
Edge from 81 to 354 has weight 6
Edge from 173 to 30 has weight 6
Edge from 47 to 449 has weight 6
Edge from 755 to 823 has weight 6
Edge from 972 to 216 has weight 6
Edge from 48 to 209 has weight 6
Edge from 758 to 382 has weight 6
Edge from 765 to 970 has weight 6
Edge from 782 to 462 has weight 6
Edge from 800 to 817 has weight 6
Edge from 15 to 218 has weight 6
Edge from 440 to 58 has weight 6
Edge from 921 to 983 has weight 6
Edge from 452 to 493 has weight 6
Edge from 107 to 973 has weight 6
Edge from 504 to 117 has weight 7
Edge from 241 to 484 has weight 7
Edge from 508 to 922 has weight 7
Edge from 510 to 588 has weight 7
Edge from 246 to 446 has weight 7
Edge from 519 to 307 has weight 7
Edge from 522 to 533 has weight 7
Edge from 62 to 314 has weight 7
Edge from 536 to 932 has weight 7
Edge from 256 to 588 has weight 7
Edge from 542 to 397 has weight 7
Edge from 551 to 578 has weight 7
Edge from 556 to 196 has weight 7
Edge from 132 to 846 has weight 7
Edge from 570 to 40 has weight 7
Edge from 579 to 798 has weight 7
Edge from 37 to 963 has weight 7
Edge from 287 to 851 has weight 7
Edge from 592 to 779 has weight 7
Edge from 287 to 983 has weight 7
Edge from 289 to 53 has weight 7
Edge from 611 to 774 has weight 7
Edge from 618 to 58 has weight 7
